Comment,Designator,SMD Footprints,LCSC,Mouser,
6.8uH,L1,SMD_6x6x4.5mm,C206253,,
BL8033,J7,SOT-23-6L,C160717,,
.01uF,C2,Capacitor_SMD:C_0805_2012Metric,C1710,,
22uF,C3,Capacitor_SMD:C_0805_2012Metric,C602037,,
.1uF,C4,Capacitor_SMD:C_0805_2012Metric,C49678,,
1uF,C5,Capacitor_SMD:C_0805_2012Metric,C28323,,
22uF,"C6,C7",Capacitor_SMD:C_1206_3216Metric,C12891,,
300R,R2,Resistor_SMD:R_0805_2012Metric,C17617,,
110R,R3,Resistor_SMD:R_0805_2012Metric,C17423,,
10K,R4,Resistor_SMD:R_0805_2012Metric,C17414,,
7.68k,R5,Resistor_SMD:R_0805_2012Metric,C30041,,
40.2k,R6,Resistor_SMD:R_0805_2012Metric,C17678,,
100K,R7,Resistor_SMD:R_0805_2012Metric,C149504,,
470,R8,Resistor_SMD:R_0805_2012Metric,C17710,,
,,,,,
,,,,,
Comment,Designator,Through Hole FootPrints,LCSC,Mouser,
2200uF,C1,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,,ECA-1EHG222,
220uF,C8,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,C2897445,,
Power Jack,J1,"2.1mm ID, DC Power Supply Connector, 2 Pin", ,PJ-037A,
Palette Switch,SW1,, ,EG2319,
Red RCA,J5,Right Audio - Red RCA Jack, ,"RCJ-042	",
White RCA (If using Dual Mono),J3,Left Audio - White RCA Jack, ,"RCJ-043	",
Yellow RCA (If using Componsite),J3,Video Out Yellow RCA Jack, ,"RCJ-044	",
AC->DC,D1,Bridge Rectifiers VR=600V IAV=2.0A, ,DF206ST-G,
Header,"J10,J11",2.54mm Header Pins, ,10129378-920003BLF,
Jumper,"J10,J11",2P Jumper,,"881545-1	",
,,,,,
Comment,Designator,Optional,LCSC,Mouser,Amazon
7 Pin JST ZH cable for connecting to NESRGB,J8,,,,https://www.aliexpress.us/item/2251832866824604.html
7 Pin JST ZH Connector for connecting to NESRGB,J8,,,,https://www.aliexpress.us/item/3256802776860690.html
3 Pin JST with cable for connecting to Palette,J12,,,,https://www.amazon.com/2-54MM-Female-Single-Connector-300mm/dp/B01IZAING4
Green_LED,D2,LED_SMD:LED_0805_2012Metric,C2297,,
680R,R1,Resistor_SMD:R_0805_2012Metric,C17798,,
